"GSM","SampleTitle","Score","GSE","Platform","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied","ScoreZ"
"GSM4292643","MV4-11 treated, replicate 1",2.781434683432,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","MV4-11","MLL rearranged",FALSE,"Pinometostat","high",FALSE,-0.207704773216648
"GSM4292644","MV4-11 control, replicate 2",2.927905735436,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","MV4-11","MLL rearranged",TRUE,"control","control",FALSE,0.233098161117401
"GSM4292645","MV4-11 treated, replicate 2",2.7736848001005,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","MV4-11","MLL rearranged",FALSE,"Pinometostat","high",FALSE,-0.231027957330723
"GSM4292646","MOLM-13 control, replicate 1",3.223408341285,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","MOLM-13","MLL rearranged",TRUE,"control","control",FALSE,1.12240983041598
"GSM4292647","MOLM-13 treated, replicate 1",3.0724562623133,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","MOLM-13","MLL rearranged",FALSE,"Pinometostat","high",FALSE,0.66812129732937
"GSM4292648","MOLM-13 control, replicate 2",3.2979344568368,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","MOLM-13","MLL rearranged",TRUE,"control","control",FALSE,1.34669531188337
"GSM4292649","MOLM-13 treated, replicate 2",3.1561677809128,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","MOLM-13","MLL rearranged",FALSE,"Pinometostat","high",FALSE,0.920050142868153
"GSM4292650","NOMO-1 control, replicate 1",3.6414061136018,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","NOMO-1","MLL rearranged",TRUE,"control","control",FALSE,2.38036928425611
"GSM4292651","NOMO-1 treated, replicate 1",2.4208220994067,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","NOMO-1","MLL rearranged",FALSE,"Pinometostat","high",FALSE,-1.29296416762446
"GSM4292652","NOMO-1 control, replicate 2",3.3650603741625,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","NOMO-1","MLL rearranged",TRUE,"control","control",FALSE,1.54870998251075
"GSM4292653","NOMO-1 treated, replicate 2",2.2333110963855,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","NOMO-1","MLL rearranged",FALSE,"Pinometostat","high",FALSE,-1.85727635915161
"GSM4292654","THP-1 control, replicate 1",3.1597804522551,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","THP-1","MLL rearranged",TRUE,"control","control",FALSE,0.930922435424821
"GSM4292655","THP-1 treated, replicate 1",2.290651455542,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","THP-1","MLL rearranged",FALSE,"Pinometostat","high",FALSE,-1.68471121248179
"GSM4292656","THP-1 control, replicate 2",3.0045404078974,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","THP-1","MLL rearranged",TRUE,"control","control",FALSE,0.463729320179406
"GSM4292657","THP-1 treated, replicate 2",2.3533626581875,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","THP-1","MLL rearranged",FALSE,"Pinometostat","high",FALSE,-1.49598257454589
"GSM4292658","OCI-AML3 control, replicate 1",2.731290082328,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","OCI-AML3","MLL wild type",TRUE,"control","control",FALSE,-0.358614369380741
"GSM4292659","OCI-AML3 treated, replicate 1",2.5817818940988,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","OCI-AML3","MLL wild type",FALSE,"Pinometostat","high",FALSE,-0.808557530003352
"GSM4292660","OCI-AML3 control, replicate 2",2.69795990026,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","OCI-AML3","MLL wild type",TRUE,"control","control",FALSE,-0.458921166228634
"GSM4292661","OCI-AML3 treated, replicate 2",2.5412975594672,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","OCI-AML3","MLL wild type",FALSE,"Pinometostat","high",FALSE,-0.930394666120074
"GSM4292662","U-937 control, replicate 1",2.8527337931422,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","U-937","MLL wild type",TRUE,"control","control",FALSE,0.00686907155100775
"GSM4292663","U-937 treated, replicate 1",2.8342368535072,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","U-937","MLL wild type",FALSE,"Pinometostat","high",FALSE,-0.048797254018124
"GSM4292664","U-937 control, replicate 2",3.0163064367975,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","U-937","MLL wild type",TRUE,"control","control",FALSE,0.499139047860488
"GSM4292665","U-937 treated, replicate 2",3.0214014654318,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","U-937","MLL wild type",FALSE,"Pinometostat","high",FALSE,0.514472477516295
"GSM4292666","HL-60 control, replicate 1",2.7224292738278,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","HL-60","MLL wild type",TRUE,"control","control",FALSE,-0.385280869921432
"GSM4292667","HL-60 treated, replicate 1",2.7497221778175,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","HL-60","MLL wild type",FALSE,"Pinometostat","high",FALSE,-0.30314319151636
"GSM4292668","HL-60 control, replicate 2",2.6509545840454,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","HL-60","MLL wild type",TRUE,"control","control",FALSE,-0.600383120882512
"GSM4292669","HL-60 treated, replicate 2",2.7604301935334,"GSE144638","GPL23159","8 days Pinometostat (1 uM)","HL-60","MLL wild type",FALSE,"Pinometostat","high",FALSE,-0.270917542257454
"GSM4709291","wild-type cells 50 nM LSD1 inhibitor treated - rep1",4.20246828640426,"GSE155640","GPL23159","LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE,0.839080913729852
"GSM4709292","wild-type cells 100 nM LSD1 inhibitor treated - rep1",4.21572270976429,"GSE155640","GPL23159","LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE,1.14009627348478
"GSM4709293","wild-type cells 50 nM NTR prodrug treated - rep1",4.20527454944196,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE,0.902812715175587
