"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM3573979",1.12707181309707,"GSE125437","NCBI-counts",6,6,"ML2.BAY1251152.8h_Rep1","cell line: ML2 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-AF",19020288,"BAY-1251152","ML2",NA,FALSE,"BAY-1251152","high"
"GSM3573980",1.10557309373413,"GSE125437","NCBI-counts",6,6,"ML2.BAY1251152.8h_Rep2","cell line: ML2 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-AF",16418471,"BAY-1251152","ML2",NA,FALSE,"BAY-1251152","high"
"GSM3573981",1.10115903204979,"GSE125437","NCBI-counts",6,6,"ML2.BAY1251152.8h_Rep3","cell line: ML2 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-AF",11885842,"BAY-1251152","ML2",NA,FALSE,"BAY-1251152","high"
"GSM3573982",1.11145389929958,"GSE125437","NCBI-counts",6,6,"ML2.OTX015.8h_Rep1","cell line: ML2 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-AF",20989583,"OTX015","ML2",NA,FALSE,"OTX015","high"
"GSM3573983",1.11339540845651,"GSE125437","NCBI-counts",6,6,"ML2.OTX015.8h_Rep2","cell line: ML2 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-AF",17030041,"OTX015","ML2",NA,FALSE,"OTX015","high"
"GSM3573984",1.09536389243135,"GSE125437","NCBI-counts",6,6,"ML2.OTX015.8h_Rep3","cell line: ML2 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-AF",16593573,"OTX015","ML2",NA,FALSE,"OTX015","high"
"GSM3573985",0.993156387878724,"GSE125437","NCBI-counts",6,6,"OCIAML3.BAY1251152.8h_Rep1","cell line: OCI-AML3 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: NMP mut",17036919,"BAY-1251152","OCI-AML3",NA,FALSE,"BAY-1251152","high"
"GSM3573986",1.01873300873146,"GSE125437","NCBI-counts",6,6,"OCIAML3.BAY1251152.8h_Rep2","cell line: OCI-AML3 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: NMP mut",16364696,"BAY-1251152","OCI-AML3",NA,FALSE,"BAY-1251152","high"
"GSM3573987",1.04733446423337,"GSE125437","NCBI-counts",6,6,"OCIAML3.BAY1251152.8h_Rep3","cell line: OCI-AML3 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: NMP mut",17015366,"BAY-1251152","OCI-AML3",NA,FALSE,"BAY-1251152","high"
"GSM3573988",0.947276080189081,"GSE125437","NCBI-counts",6,6,"OCIAML3.OTX015.8h_Rep1","cell line: OCI-AML3 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: NMP mut",16228060,"OTX015","OCI-AML3",NA,FALSE,"OTX015","high"
