"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8062120",1.06049063241614,"GSE255002","NCBI-counts",6,6,"Donor.D732_Untransduced_CD4_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D732 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",14999610,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062121",1.49811901081207,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D1173 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",21361798,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062122",1.36005617673691,"GSE255002","NCBI-counts",6,6,"Donor.D2172_Untransduced_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D2172 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",9319688,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062123",1.20991345307901,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD4_1nM rapamycin_Unstimulated_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D1173 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",7830706,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062124",1.06341311658888,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD4_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D1173 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",15470064,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062125",1.28300812939644,"GSE255002","NCBI-counts",6,6,"Donor.D2172_Untransduced_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D2172 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",14288768,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062126",1.28288345029359,"GSE255002","NCBI-counts",6,6,"Donor.D932_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D932 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",9005623,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062127",1.26673330555263,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D1173 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",9005728,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062128",1.34488773743345,"GSE255002","NCBI-counts",6,6,"Donor.D2172_Untransduced_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D2172 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",18407723,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062129",1.2951875657342,"GSE255002","NCBI-counts",6,6,"Donor.D932_DARIC33_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D932 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",8727866,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
