"GSE","Line","Agent","est","null_p","src","q"
"GSE29799","MLL-AF9/NrasG12D human cell line","JQ1",-0.000564268088739217,0.975512243878061,"array",0.987171752769034
"GSE125437","SEM","Brequinar",-0.000504862299160774,0.970514742628686,"counts",0.986042978510745
"GSE42259","THP1","Dll4-Fc",-0.00017825074234103,0.987506246876562,"array",0.987506246876562
"GSE65019","MV-4-11","CA",0.000205810707490983,0.958520739630185,"array",0.978277929308438
"GSE230589","T-ALL","ACBI-1",0.000377470437559854,0.981009495252374,"counts",0.987506246876562
"GSE231959","T-ALL","Doxycycline",0.000402525346628213,0.984007996001999,"counts",0.987506246876562
"GSE220170","MOLM1","AR42-08",0.000904235197136283,0.95352323838081,"counts",0.978277929308438
"GSE55154","K562","SAHA",0.000915622876007438,0.959020489755122,"array",0.978277929308438
"GSE125437","RS411","EPZ-5676",0.00107551824060115,0.930034982508746,"counts",0.960280022590331
"GSE190087","MEC 1 ACC497 (DMSZ)","H3B-8800",0.0012579211153834,0.91904047976012,"counts",0.956706073192912
"GSE125437","MOLM-14","EPZ-5676",0.00143067843831768,0.907046476761619,"counts",0.948106193816672
"GSE97331","OCI-M1","SY-1425",0.00149334955106025,0.760119940029985,"array",0.874770759416672
"GSE226459","patient-derived xenograft (PDX) AML cells","quizartinib",0.00162031339732549,0.817091454272864,"array",0.886928330706442
"GSE125437","OCI-AML2","EPZ-5676",0.00190589830984841,0.863068465767116,"counts",0.913414126270198
"GSE97331","NOMO-1","SY-1425",0.00217974909759374,0.76111944027986,"array",0.874770759416672
"GSE125437","Jurkat","BAY-155",0.00221428934397072,0.841579210394803,"counts",0.898155964034789
"GSE231960","RPMI-8402","Doxycycline",0.0022947003103515,0.860069965017491,"counts",0.913414126270198
"GSE260759","MOLM14","AZ2-",0.00292383731106483,0.832583708145927,"counts",0.896589679843622
"GSE125437","ML2","Brequinar",0.00310586769502363,0.816091954022989,"counts",0.886928330706442
"GSE125437","ML2","OTX015",0.00323361244266776,0.810094952523738,"counts",0.886914301469955
"GSE125437","NOMO-1","EPZ-5676",0.0032624314695304,0.745127436281859,"counts",0.874581058094806
"GSE125437","MOLM-14","OTX015",0.00389076467425642,0.780609695152424,"counts",0.877322400746529
"GSE219230","HL-60","Panobinostat",0.00401254956872618,0.806096951524238,"counts",0.886357686957387
"GSE65014","MOLM-14","CA",0.00432291388844438,0.338830584707646,"array",0.566203740235146
"GSE125437","OCI-AML3","OTX015",0.00461763150416029,0.750124937531234,"counts",0.874581058094806
"GSE267885","KG1a","TAK-981 + venetoclax",0.00478866360643887,0.79960019990005,"counts",0.884140538426439
