"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM4292653","NOMO-1 treated, replicate 2",2.2333110963855,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292654","THP-1 control, replicate 1",3.1597804522551,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292655","THP-1 treated, replicate 1",2.290651455542,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292656","THP-1 control, replicate 2",3.0045404078974,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292657","THP-1 treated, replicate 2",2.3533626581875,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292658","OCI-AML3 control, replicate 1",2.731290082328,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL wild type",TRUE,"control","control",FALSE
"GSM4292659","OCI-AML3 treated, replicate 1",2.5817818940988,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL wild type",FALSE,"Pinometostat","high",FALSE
"GSM4292660","OCI-AML3 control, replicate 2",2.69795990026,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL wild type",TRUE,"control","control",FALSE
"GSM4292661","OCI-AML3 treated, replicate 2",2.5412975594672,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL wild type",FALSE,"Pinometostat","high",FALSE
"GSM4292662","U-937 control, replicate 1",2.8527337931422,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL wild type",TRUE,"control","control",FALSE
"GSM4292663","U-937 treated, replicate 1",2.8342368535072,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL wild type",FALSE,"Pinometostat","high",FALSE
"GSM4292664","U-937 control, replicate 2",3.0163064367975,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL wild type",TRUE,"control","control",FALSE
"GSM4292665","U-937 treated, replicate 2",3.0214014654318,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL wild type",FALSE,"Pinometostat","high",FALSE
"GSM4292666","HL-60 control, replicate 1",2.7224292738278,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL wild type",TRUE,"control","control",FALSE
"GSM4292667","HL-60 treated, replicate 1",2.7497221778175,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL wild type",FALSE,"Pinometostat","high",FALSE
"GSM4292668","HL-60 control, replicate 2",2.6509545840454,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL wild type",TRUE,"control","control",FALSE
"GSM4292669","HL-60 treated, replicate 2",2.7604301935334,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL wild type",FALSE,"Pinometostat","high",FALSE
"GSM4504727","THP-1 CNTRL [291]",3.5221075346948,"GSE149548","GPL23159",5,6,"vehicle control","THP-1",NA,TRUE,"control","control",FALSE
"GSM4504728","THP-1 CNTRL [292]",3.5734838292867,"GSE149548","GPL23159",5,6,"vehicle control","THP-1",NA,TRUE,"control","control",FALSE
"GSM4504729","THP-1 CNTRL [293]",3.6345715973895,"GSE149548","GPL23159",5,6,"vehicle control","THP-1",NA,TRUE,"control","control",FALSE
